Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1985,244.355224609375,63.575279235839844,0.03473721817135811,0.1898983269929886,5854.19384765625,4224.83740234375,16262.2216796875,33660.1015625,23987.828125,10541
World,OWID_WRL,1986,265.20489501953125,79.67752838134766,0.04489833116531372,0.41052278876304626,5933.47314453125,4525.08642578125,16421.111328125,34700.8359375,24258.033203125,10653
World,OWID_WRL,1987,283.8797607421875,81.13545989990234,0.03135305270552635,0.5777269601821899,6013.859375,4922.3310546875,17281.896484375,35393.54296875,25212.42578125,10765
World,OWID_WRL,1988,292.2910461425781,85.56256103515625,0.030149443075060844,0.9804777503013611,6206.5634765625,5366.4482421875,18088.845703125,36552.58984375,25967.12890625,10879
World,OWID_WRL,1989,321.91949462890625,91.30406188964844,0.7753913402557373,7.835361003875732,6173.58251953125,5518.99609375,18867.30859375,37156.8359375,26215.67578125,10995
World,OWID_WRL,1990,361.1251525878906,100.93559265136719,1.148183822631836,10.741175651550293,6383.380859375,5676.3408203125,19481.125,37608.01953125,25904.46875,11111
World,OWID_WRL,1991,376.7493896484375,106.65062713623047,1.4938794374465942,12.08434772491455,6532.16259765625,5947.9267578125,19972.83984375,37610.640625,25654.251953125,11243
World,OWID_WRL,1992,404.74102783203125,104.65896606445312,1.3796871900558472,13.996057510375977,6530.3935546875,5993.08447265625,20063.484375,38151.84765625,25556.59375,11376
World,OWID_WRL,1993,418.3900146484375,109.13502502441406,1.6461485624313354,16.8476505279541,6923.66455078125,6199.47607421875,20265.484375,37960.61328125,25685.59375,11511
World,OWID_WRL,1994,434.5735778808594,117.91619110107422,1.7653638124465942,21.062427520751953,6967.2451171875,6315.8662109375,20389.615234375,38793.5078125,25784.77734375,11647
World,OWID_WRL,1995,454.2080383300781,124.0906753540039,1.8889656066894531,24.430418014526367,7344.2119140625,6589.8330078125,21104.494140625,39442.17578125,25963.681640625,11785
World,OWID_WRL,1996,466.2979431152344,119.19629669189453,2.0675506591796875,27.21790313720703,7442.81689453125,6829.33349609375,22159.255859375,40314.296875,26582.123046875,11925
World,OWID_WRL,1997,499.909912109375,124.06340789794922,2.2165141105651855,35.53655242919922,7572.9384765625,6782.4453125,22030.392578125,41413.24609375,26536.6875,12066
World,OWID_WRL,1998,520.4947509765625,126.48511505126953,2.4004509449005127,47.0789909362793,7631.9765625,6899.19580078125,22434,41644.4140625,26366.365234375,12209
World,OWID_WRL,1999,546.0943603515625,128.31883239746094,2.6766574382781982,62.73599624633789,7689.77783203125,7161.75341796875,23071.904296875,42370.09375,26479.49609375,12414
World,OWID_WRL,2000,571.1834716796875,125.51532745361328,3.1313633918762207,92.87144470214844,7826.166015625,7323.33984375,23994.2578125,42880.92578125,27427.5234375,12500
